수행시각,합성종류,아이템명,뽑기횟수,뽑기확률(%),기대확률(%)
2023-02-27 01:24,일반합성,캣시,81135,8.1135,8.1250
2023-02-27 01:24,일반합성,갈리,81295,8.1295,8.1250
2023-02-27 01:24,일반합성,코볼트,81451,8.1451,8.1250
2023-02-27 01:24,일반합성,로비어,80812,8.0812,8.1250
2023-02-27 01:24,일반합성,레무르,81128,8.1128,8.1250
2023-02-27 01:24,일반합성,맨드레이크,81378,8.1378,8.1250
2023-02-27 01:24,일반합성,넛츠,81560,8.156,8.1250
2023-02-27 01:24,일반합성,스컬리,81327,8.1327,8.1250
2023-02-27 01:24,일반합성,뚱냥,38125,3.8125,3.8000
2023-02-27 01:24,일반합성,가고일,38216,3.8216,3.8000
2023-02-27 01:24,일반합성,와이번,38015,3.8015,3.8000
2023-02-27 01:24,일반합성,인형 테디,38046,3.8046,3.8000
2023-02-27 01:24,일반합성,인형 레비,37992,3.7992,3.8000
2023-02-27 01:24,일반합성,로간,37953,3.7953,3.8000
2023-02-27 01:24,일반합성,녹튜,37861,3.7861,3.8000
2023-02-27 01:24,일반합성,플라틀,37611,3.7611,3.8000
2023-02-27 01:24,일반합성,레이지,8108,0.8108,0.8000
2023-02-27 01:24,일반합성,맨드라퀸,37987,3.7987,3.8000
2023-02-27 01:24,고급합성,뚱냥,82683,8.2683,8.3001
2023-02-27 01:24,고급합성,가고일,83167,8.3167,8.3001
2023-02-27 01:24,고급합성,와이번,82982,8.2982,8.3001
2023-02-27 01:24,고급합성,인형 테디,83056,8.3056,8.3001
2023-02-27 01:24,고급합성,인형 레비,83415,8.3415,8.3001
2023-02-27 01:24,고급합성,로간,83167,8.3167,8.3001
2023-02-27 01:24,고급합성,녹튜,82622,8.2622,8.3001
2023-02-27 01:24,고급합성,플라틀,83073,8.3073,8.3001
2023-02-27 01:24,고급합성,레이지,83106,8.3106,8.3000
2023-02-27 01:24,고급합성,맨드라퀸,82966,8.2966,8.3000
2023-02-27 01:24,고급합성,이그리트,6996,0.6996,0.7083
2023-02-27 01:24,고급합성,레비아탄,6996,0.6996,0.7083
2023-02-27 01:24,고급합성,테이아,7123,0.7123,0.7083
2023-02-27 01:24,고급합성,웬투스,7034,0.7034,0.7083
2023-02-27 01:24,고급합성,루멘,7167,0.7167,0.7083
2023-02-27 01:24,고급합성,칼리고,6996,0.6996,0.7083
2023-02-27 01:24,고급합성,켈베로스,7119,0.7119,0.7083
2023-02-27 01:24,고급합성,스피릿 매지션,7108,0.7108,0.7083
2023-02-27 01:24,고급합성,엠퍼,7093,0.7093,0.7083
2023-02-27 01:24,고급합성,팬텀,7135,0.7135,0.7083
2023-02-27 01:24,고급합성,라이칸,6976,0.6976,0.7083
2023-02-27 01:24,고급합성,미노타우르스,7172,0.7172,0.7083
2023-02-27 01:24,고급합성,마법인형 벡,7071,0.7071,0.7083
2023-02-27 01:24,고급합성,마법인형 알레브,7184,0.7184,0.7083
2023-02-27 01:24,고급합성,혼돈의 유니콘,7139,0.7139,0.7083
2023-02-27 01:24,고급합성,질서의 유니콘,7112,0.7112,0.7083
2023-02-27 01:24,고급합성,그라둔,6982,0.6982,0.7083
2023-02-27 01:24,고급합성,스핑크스,6993,0.6993,0.7083
2023-02-27 01:24,고급합성,폴라베어,7115,0.7115,0.7083
2023-02-27 01:24,고급합성,화과산 돌 원숭이,6980,0.698,0.7083
2023-02-27 01:24,고급합성,땅의 정령,7039,0.7039,0.7083
2023-02-27 01:24,고급합성,물의 정령,7050,0.705,0.7083
2023-02-27 01:24,고급합성,바람의 정령,7086,0.7086,0.7083
2023-02-27 01:24,고급합성,불의 정령,7097,0.7097,0.7083
2023-02-27 01:24,희귀합성,이그리트,36962,3.6962,3.7084
2023-02-27 01:24,희귀합성,레비아탄,37047,3.7047,3.7084
2023-02-27 01:24,희귀합성,테이아,37159,3.7159,3.7084
2023-02-27 01:24,희귀합성,웬투스,37077,3.7077,3.7084
2023-02-27 01:24,희귀합성,루멘,37096,3.7096,3.7084
2023-02-27 01:24,희귀합성,칼리고,37207,3.7207,3.7084
2023-02-27 01:24,희귀합성,켈베로스,37192,3.7192,3.7084
2023-02-27 01:24,희귀합성,스피릿 매지션,37185,3.7185,3.7084
2023-02-27 01:24,희귀합성,엠퍼,37007,3.7007,3.7083
2023-02-27 01:24,희귀합성,팬텀,37062,3.7062,3.7083
2023-02-27 01:24,희귀합성,라이칸,37394,3.7394,3.7083
2023-02-27 01:24,희귀합성,미노타우르스,36842,3.6842,3.7083
2023-02-27 01:24,희귀합성,마법인형 벡,37293,3.7293,3.7083
2023-02-27 01:24,희귀합성,마법인형 알레브,36823,3.6823,3.7083
2023-02-27 01:24,희귀합성,혼돈의 유니콘,37123,3.7123,3.7083
2023-02-27 01:24,희귀합성,질서의 유니콘,37118,3.7118,3.7083
2023-02-27 01:24,희귀합성,그라둔,36972,3.6972,3.7083
2023-02-27 01:24,희귀합성,스핑크스,37016,3.7016,3.7083
2023-02-27 01:24,희귀합성,폴라베어,37161,3.7161,3.7083
2023-02-27 01:24,희귀합성,화과산 돌 원숭이,36990,3.699,3.7083
2023-02-27 01:24,희귀합성,땅의 정령,37208,3.7208,3.7083
2023-02-27 01:24,희귀합성,물의 정령,37258,3.7258,3.7083
2023-02-27 01:24,희귀합성,바람의 정령,36798,3.6798,3.7083
2023-02-27 01:24,희귀합성,불의 정령,36972,3.6972,3.7083
2023-02-27 01:24,희귀합성,쌍둥이 창병 폴,3909,0.3909,0.3907
2023-02-27 01:24,희귀합성,쌍둥이 창병 암,3951,0.3951,0.3907
2023-02-27 01:24,희귀합성,화염의 이그리트,10521,1.0521,1.0520
2023-02-27 01:24,희귀합성,심해의 레비아탄,10438,1.0438,1.0520
2023-02-27 01:24,희귀합성,황야의 테이아,10628,1.0628,1.0519
2023-02-27 01:24,희귀합성,돌풍의 웬투스,10433,1.0433,1.0519
2023-02-27 01:24,희귀합성,홍염의 루멘,10517,1.0517,1.0519
2023-02-27 01:24,희귀합성,월광의 칼리고,10511,1.0511,1.0519
2023-02-27 01:24,희귀합성,제천대성 오공,3967,0.3967,0.3907
2023-02-27 01:24,희귀합성,대지의 고일,3983,0.3983,0.3907
2023-02-27 01:24,희귀합성,라르카의 마법인형,3835,0.3835,0.3907
2023-02-27 01:24,희귀합성,듀라한,3854,0.3854,0.3907
2023-02-27 01:24,희귀합성,리치 퀸,3910,0.391,0.3907
2023-02-27 01:24,희귀합성,스켈레톤 킹,3751,0.3751,0.3907
2023-02-27 01:24,희귀합성,지휘관 투랑카,3872,0.3872,0.3907
2023-02-27 01:24,희귀합성,추장 오크볼그,3968,0.3968,0.3907
2023-02-27 01:24,희귀합성,여왕 마브,3983,0.3983,0.3907
2023-02-27 01:24,희귀합성,해방된 헬게이트 가디언,4007,0.4007,0.3907
2023-02-27 01:24,영웅합성,쌍둥이 창병 폴,50231,5.0231,5.0001
2023-02-27 01:24,영웅합성,쌍둥이 창병 암,50027,5.0027,5.0001
2023-02-27 01:24,영웅합성,화염의 이그리트,49707,4.9707,5.0001
2023-02-27 01:24,영웅합성,심해의 레비아탄,50785,5.0785,5.0001
2023-02-27 01:24,영웅합성,황야의 테이아,50130,5.013,5.0000
2023-02-27 01:24,영웅합성,돌풍의 웬투스,50058,5.0058,5.0000
2023-02-27 01:24,영웅합성,홍염의 루멘,50134,5.0134,5.0000
2023-02-27 01:24,영웅합성,월광의 칼리고,49855,4.9855,5.0000
2023-02-27 01:24,영웅합성,제천대성 오공,50021,5.0021,5.0000
2023-02-27 01:24,영웅합성,대지의 고일,49949,4.9949,5.0000
2023-02-27 01:24,영웅합성,라르카의 마법인형,49963,4.9963,5.0000
2023-02-27 01:24,영웅합성,듀라한,49914,4.9914,5.0000
2023-02-27 01:24,영웅합성,리치 퀸,49571,4.9571,5.0000
2023-02-27 01:24,영웅합성,스켈레톤 킹,50294,5.0294,5.0000
2023-02-27 01:24,영웅합성,지휘관 투랑카,49992,4.9992,5.0000
2023-02-27 01:24,영웅합성,추장 오크볼그,49823,4.9823,5.0000
2023-02-27 01:24,영웅합성,여왕 마브,49586,4.9586,5.0000
2023-02-27 01:24,영웅합성,해방된 헬게이트 가디언,49967,4.9967,5.0000
2023-02-27 01:24,영웅합성,마릿트,7760,0.776,0.7692
2023-02-27 01:24,영웅합성,샤이탄,7581,0.7581,0.7692
2023-02-27 01:24,영웅합성,히들,7742,0.7742,0.7692
2023-02-27 01:24,영웅합성,크루햄,7555,0.7555,0.7692
2023-02-27 01:24,영웅합성,콘보,7644,0.7644,0.7692
2023-02-27 01:24,영웅합성,버터클,7680,0.768,0.7692
2023-02-27 01:24,영웅합성,화타포스,7636,0.7636,0.7692
2023-02-27 01:24,영웅합성,벨제뷔트,7666,0.7666,0.7692
2023-02-27 01:24,영웅합성,아타락시아,7830,0.783,0.7692
2023-02-27 01:24,영웅합성,백호,7762,0.7762,0.7692
2023-02-27 01:24,영웅합성,주작,7717,0.7717,0.7692
2023-02-27 01:24,영웅합성,청룡,7819,0.7819,0.7692
2023-02-27 01:24,영웅합성,현무,7601,0.7601,0.7692
2023-02-27 01:24,전설합성,마릿트,70099,7.0099,7.0000
2023-02-27 01:24,전설합성,샤이탄,70397,7.0397,7.0000
2023-02-27 01:24,전설합성,히들,70388,7.0388,7.0000
2023-02-27 01:24,전설합성,크루햄,70218,7.0218,7.0000
2023-02-27 01:24,전설합성,콘보,70171,7.0171,7.0000
2023-02-27 01:24,전설합성,버터클,69719,6.9719,7.0000
2023-02-27 01:24,전설합성,화타포스,69923,6.9923,7.0000
2023-02-27 01:24,전설합성,벨제뷔트,69892,6.9892,7.0000
2023-02-27 01:24,전설합성,아타락시아,69574,6.9574,7.0000
2023-02-27 01:24,전설합성,백호,69417,6.9417,7.0000
2023-02-27 01:24,전설합성,주작,69957,6.9957,7.0000
2023-02-27 01:24,전설합성,청룡,70351,7.0351,7.0000
2023-02-27 01:24,전설합성,현무,70027,7.0027,7.0000
2023-02-27 01:24,전설합성,메테오스,44814,4.4814,4.5000
2023-02-27 01:24,전설합성,바포메트,45053,4.5053,4.5000
