수행시각,뽑기ID,아이템명,etc_json,뽑기횟수,뽑기확률(%),기대확률(%),오차(%)
2023-02-15 12:13,300008,메테오스 쉐도우,"{""value"":{""DrawGroupNo"":10008,""Rarity"":1}}",8500,0.85,0.8421,0.9381
2023-02-15 12:13,300008,트로글다이트,"{""value"":{""DrawGroupNo"":10008,""Rarity"":1}}",8484,0.8484,0.8421,0.7481
2023-02-15 12:13,300008,곰인형,"{""value"":{""DrawGroupNo"":10008,""Rarity"":1}}",8535,0.8535,0.8421,1.3538
2023-02-15 12:13,300008,문엘프 전사,"{""value"":{""DrawGroupNo"":10008,""Rarity"":1}}",8397,0.8397,0.8421,0.285
2023-02-15 12:13,300008,문엘프 마법사,"{""value"":{""DrawGroupNo"":10008,""Rarity"":1}}",8485,0.8485,0.8421,0.76
2023-02-15 12:13,300008,레프리컨,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",144,0.0144,0.0135,6.6667
2023-02-15 12:13,300008,몽크마스터,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",139,0.0139,0.0135,2.963
2023-02-15 12:13,300008,래서 아스타로트,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",148,0.0148,0.0135,9.6296
2023-02-15 12:13,300008,드래곤 나이트,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",141,0.0141,0.0135,4.4444
2023-02-15 12:13,300008,노아스,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",157,0.0157,0.0135,16.2963
2023-02-15 12:13,300008,엘라임,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",123,0.0123,0.0135,8.8889
2023-02-15 12:13,300008,크루얼 크루세이더,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",115,0.0115,0.0135,14.8148
2023-02-15 12:13,300008,퓨리,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",153,0.0153,0.0135,13.3333
2023-02-15 12:13,300008,수호자 엘리엇,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",119,0.0119,0.0135,11.8519
2023-02-15 12:13,300008,래서 루시퍼,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",131,0.0131,0.0135,2.963
2023-02-15 12:13,300008,드래곤 나이트 아처,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",127,0.0127,0.0135,5.9259
2023-02-15 12:13,300008,님로드 크루세이더,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",142,0.0142,0.0135,5.1852
2023-02-15 12:13,300008,광휘의 엘로라,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",145,0.0145,0.0135,7.4074
