수행시각,뽑기ID,아이템명,etc_json,뽑기횟수,뽑기확률(%),기대확률(%),오차(%)
2023-02-15 12:09,630803,메테오스 아처,"{""value"":{""DrawGroupNo"":10402,""Rarity"":5}}",125872,12.5872,12.5,0.6976
2023-02-15 12:09,630803,메테오스 어쌔신,"{""value"":{""DrawGroupNo"":10402,""Rarity"":5}}",124953,12.4953,12.5,0.0376
2023-02-15 12:09,630803,메테오스 위저드,"{""value"":{""DrawGroupNo"":10402,""Rarity"":5}}",124797,12.4797,12.5,0.1624
2023-02-15 12:09,630803,메테오스,"{""value"":{""DrawGroupNo"":10402,""Rarity"":5}}",124788,12.4788,12.5,0.1696
2023-02-15 12:09,630803,그리헨텔,"{""value"":{""DrawGroupNo"":10402,""Rarity"":5}}",124799,12.4799,12.5,0.1608
2023-02-15 12:09,630803,그리헨텔 어쌔신,"{""value"":{""DrawGroupNo"":10402,""Rarity"":5}}",125145,12.5145,12.5,0.116
2023-02-15 12:09,630803,그리헨텔 아처,"{""value"":{""DrawGroupNo"":10402,""Rarity"":5}}",124996,12.4996,12.5,0.0032
2023-02-15 12:09,630803,그리헨텔 위저드,"{""value"":{""DrawGroupNo"":10402,""Rarity"":5}}",124650,12.465,12.5,0.28
