수행시각,뽑기ID,아이템명,etc_json,뽑기횟수,뽑기확률(%),기대확률(%),오차(%)
2023-02-15 16:42,300008,코볼트,"10008,""Rarity"":0}}",39402,3.9402,3.9619,0.5477
2023-02-15 16:42,300008,하피,"10008,""Rarity"":0}}",39568,3.9568,3.9619,0.1287
2023-02-15 16:42,300008,놀 병사,"10008,""Rarity"":0}}",39113,3.9113,3.9619,1.2772
2023-02-15 16:42,300008,오크,"10008,""Rarity"":0}}",39600,3.96,3.9619,0.048
2023-02-15 16:42,300008,그렘린,"10008,""Rarity"":0}}",39673,3.9673,3.9619,0.1363
2023-02-15 16:42,300008,홉 고블린,"10008,""Rarity"":0}}",39401,3.9401,3.9619,0.5502
2023-02-15 16:42,300008,용아병,"10008,""Rarity"":0}}",39830,3.983,3.9619,0.5326
2023-02-15 16:42,300008,좀비,"10008,""Rarity"":0}}",39586,3.9586,3.9619,0.0833
2023-02-15 16:42,300008,버섯돌이,"10008,""Rarity"":0}}",39806,3.9806,3.9619,0.472
2023-02-15 16:42,300008,콜로복,"10008,""Rarity"":0}}",39746,3.9746,3.9619,0.3206
2023-02-15 16:42,300008,선인장,"10008,""Rarity"":0}}",39453,3.9453,3.9619,0.419
2023-02-15 16:42,300008,갈색 곰,"10008,""Rarity"":0}}",40122,4.0122,3.9619,1.2696
2023-02-15 16:42,300008,놀 아처,"10008,""Rarity"":0}}",39698,3.9698,3.9619,0.1994
2023-02-15 16:42,300008,코볼트 아처,"10008,""Rarity"":0}}",39735,3.9735,3.9619,0.2928
2023-02-15 16:42,300008,식인늑대,"10008,""Rarity"":0}}",39412,3.9412,3.9618,0.52
2023-02-15 16:42,300008,리자드맨,"10008,""Rarity"":0}}",39515,3.9515,3.9618,0.26
2023-02-15 16:42,300008,군,"10008,""Rarity"":0}}",39812,3.9812,3.9618,0.4897
2023-02-15 16:42,300008,벌거숭이 군,"10008,""Rarity"":0}}",39673,3.9673,3.9618,0.1388
2023-02-15 16:42,300008,청개구리,"10008,""Rarity"":0}}",39479,3.9479,3.9618,0.3509
2023-02-15 16:42,300008,괴물게,"10008,""Rarity"":0}}",39622,3.9622,3.9618,0.0101
2023-02-15 16:42,300008,인퍼날,"10008,""Rarity"":1}}",8424,0.8424,0.8422,0.0237
2023-02-15 16:42,300008,버서커,"10008,""Rarity"":1}}",8410,0.841,0.8422,0.1425
2023-02-15 16:42,300008,가고일,"10008,""Rarity"":1}}",8617,0.8617,0.8422,2.3154
